Cost ID;Day;Amount;Category;Currency;Source;Delivery
2026-08-inference-18;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-18
2026-08-human_review-18;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-18
2026-08-inference-19;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-19
2026-08-human_review-19;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-19
2026-08-inference-20;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-20
2026-08-human_review-20;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-20
2026-08-inference-21;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-21
2026-08-human_review-21;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-21
2026-08-inference-22;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-22
2026-08-human_review-22;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-22
2026-08-inference-23;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-23
2026-08-human_review-23;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-23
2026-08-inference-24;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-24
2026-08-human_review-24;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-24
2026-08-inference-25;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-25
2026-08-human_review-25;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-25
2026-08-inference-26;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-26
2026-08-human_review-26;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-26
2026-08-inference-27;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-27
2026-08-human_review-27;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-27
2026-08-inference-28;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-28
2026-08-human_review-28;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-28
2026-08-inference-29;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-29
2026-08-human_review-29;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-29
2026-08-inference-30;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-30
2026-08-human_review-30;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-30
2026-08-inference-31;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-31
2026-08-human_review-31;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-31
2026-08-inference-32;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-32
2026-08-human_review-32;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-32
2026-08-inference-33;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-33
2026-08-human_review-33;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-33
2026-08-inference-34;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-34
2026-08-human_review-34;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-34
2026-08-inference-35;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-35
2026-08-human_review-35;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-35
2026-08-inference-36;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-36
2026-08-human_review-36;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-36
2026-08-inference-37;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-37
2026-08-human_review-37;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-37
2026-08-inference-38;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-38
2026-08-human_review-38;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-38
2026-08-inference-39;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-39
2026-08-human_review-39;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-39
2026-08-inference-40;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-40
2026-08-human_review-40;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-40
2026-08-inference-41;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-41
2026-08-human_review-41;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-41
2026-08-inference-42;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-42
2026-08-human_review-42;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-42
2026-08-inference-43;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-43
2026-08-human_review-43;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-43
2026-08-inference-44;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-44
2026-08-human_review-44;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-44
2026-08-inference-45;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-45
2026-08-human_review-45;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-45
2026-08-inference-46;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-46
2026-08-human_review-46;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-46
2026-08-inference-47;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-47
2026-08-human_review-47;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-47
2026-08-inference-48;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-48
2026-08-human_review-48;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-48
2026-08-inference-49;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-49
2026-08-human_review-49;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-49
